x1,y1,x2,y2,x3,y3
0,0.399778881,0,0.015732956,0,0.041830112
0.020051615,0.398920852,0.02005,0.01547631,0.020050625,0.039397592
0.040103282,0.396855813,0.0401,0.014917364,0.040101302,0.035081048
0.060154948,0.393619486,0.06015,0.014399264,0.060151927,0.03203389
0.080206615,0.389247786,0.080200052,0.013915235,0.080202552,0.030516674
0.100258229,0.383836885,0.100250052,0.013279971,0.100253177,0.029833179
0.120309896,0.377463414,0.120300052,0.012465505,0.120303854,0.029261186
0.140361563,0.370215828,0.140350052,0.011594588,0.140354479,0.028184685
0.160413229,0.362166888,0.160400052,0.010718609,0.160405104,0.026631207
0.180464844,0.35338208,0.180450052,0.009762743,0.180455781,0.02507985
0.200516511,0.343921363,0.200500052,0.008699357,0.200506406,0.024030025
0.220568177,0.333807098,0.220550052,0.007580384,0.220557031,0.023346112
0.240619844,0.32306328,0.240600052,0.006421133,0.240607708,0.022360852
0.260671511,0.31169864,0.260650052,0.005193159,0.260658333,0.020918191
0.280723125,0.299710483,0.280700052,0.003891244,0.280708958,0.019210516
0.300774792,0.287104955,0.300750052,0.002564891,0.300759635,0.017642088
0.320826459,0.273907566,0.320800105,0.001279053,0.32081026,0.016587591
0.340878073,0.260147899,0.340850105,3.45E-05,0.340860938,0.01636639
0.36092974,0.24587723,0.360900105,-0.001200666,0.360911563,0.016648384
0.380981407,0.231172592,0.380950105,-0.002411045,0.38096224,0.01631245
0.401033073,0.216112227,0.401000105,-0.003576408,0.401012865,0.015363274
0.421084688,0.200793727,0.421050105,-0.004735664,0.42106349,0.014785645
0.441136354,0.185312564,0.441100105,-0.005927708,0.441114167,0.014641089
0.461188021,0.169755134,0.461150105,-0.007110051,0.461164844,0.014845268
0.481239688,0.154198288,0.481200105,-0.00818667,0.481215469,0.015714523
0.501291302,0.138702671,0.501250105,-0.009138574,0.501266146,0.016780121
0.521342969,0.123294332,0.521300105,-0.010037924,0.521316771,0.017349077
0.541394636,0.108005933,0.541350105,-0.01092167,0.541367448,0.016992525
0.56144625,0.092835048,0.561400105,-0.011721667,0.561418073,0.016489237
0.581497917,0.077762039,0.581450105,-0.012341359,0.58146875,0.016405672
0.601549584,0.062757176,0.601500157,-0.01275118,0.601519375,0.016576971
0.62160125,0.047801833,0.621550157,-0.013001536,0.621570052,0.017073874
0.641652917,0.032877215,0.641600157,-0.013151501,0.641620677,0.017859708
0.661704532,0.017972761,0.661650157,-0.013222597,0.661671354,0.01863695
0.681756198,0.003103182,0.681700157,-0.013211161,0.681722031,0.018999504
0.701807865,-0.011681866,0.701750157,-0.013112523,0.701772656,0.018897136
0.721859479,-0.02632911,0.721800157,-0.012912417,0.721823333,0.01870579
0.741911146,-0.040781279,0.741850157,-0.012592289,0.741873958,0.018672547
0.761962813,-0.054977666,0.761900157,-0.012148138,0.761924635,0.018293606
0.782014427,-0.068858263,0.781950157,-0.011590812,0.781975313,0.0174721
0.802066094,-0.082392369,0.802000157,-0.010934185,0.802025938,0.016364928
0.822117761,-0.095570345,0.822050209,-0.010168759,0.822076615,0.015200435
0.842169427,-0.108406468,0.842100209,-0.009278539,0.842127292,0.014208631
0.862221042,-0.120924627,0.862150209,-0.008304243,0.862177917,0.013446026
0.882272709,-0.133168766,0.882200209,-0.007310576,0.882228594,0.012855401
0.902324375,-0.145167507,0.902250209,-0.006331136,0.902279271,0.012304411
0.922376042,-0.156982255,0.922300209,-0.00534305,0.922329896,0.011822598
0.942427657,-0.168641226,0.942350209,-0.004324499,0.942380573,0.011403791
0.962479323,-0.180164717,0.962400209,-0.003294858,0.96243125,0.010773949
0.98253099,-0.191560757,0.982450209,-0.002236159,0.982481927,0.009636946
1.002582604,-0.202818619,1.002500209,-0.001100983,1.002532552,0.008653516
1.022634271,-0.213904556,1.022550209,8.57E-05,1.022583229,0.008396768
1.042685938,-0.224762983,1.042600261,0.001244684,1.042633906,0.008455787
1.062737604,-0.235329171,1.062650261,0.002338694,1.062684531,0.007793232
1.082789219,-0.245534594,1.082700261,0.003387462,1.082735208,0.006133733
1.102840886,-0.255309932,1.102750261,0.004406407,1.102785885,0.004301534
1.122892552,-0.264595977,1.122800261,0.005384354,1.122836563,0.003340441
1.142944167,-0.273368161,1.142850261,0.006314436,1.142887188,0.003597338
1.162995834,-0.281616556,1.162900261,0.007177541,1.162937865,0.004239515
1.1830475,-0.289352362,1.182950261,0.00793052,1.182988542,0.004708427
1.203099167,-0.296600899,1.203000261,0.00856719,1.203039219,0.004767727
1.223150782,-0.303396586,1.223050261,0.009132504,1.223089844,0.004135333
1.243202448,-0.309766101,1.243100261,0.009650405,1.243140521,0.003250553
1.263254115,-0.315726614,1.263150313,0.010117127,1.263191198,0.00289174
1.283305729,-0.321261099,1.283200313,0.010507294,1.283241875,0.002883067
1.303357396,-0.326341474,1.303250313,0.01078343,1.3032925,0.00264983
1.323409063,-0.3309322,1.323300313,0.010906571,1.323343177,0.002304886
1.343460677,-0.33496447,1.343350313,0.010871072,1.343393854,0.00214516
1.363512344,-0.338356514,1.363400313,0.010718539,1.363444531,0.002163987
1.383564011,-0.341035124,1.383450313,0.010499972,1.383495208,0.002274595
1.403615677,-0.34293281,1.403500313,0.010206581,1.403545833,0.002290817
1.423667292,-0.343994658,1.423550313,0.009789411,1.42359651,0.001618086
1.443718959,-0.344169875,1.443600365,0.009250667,1.443647188,0.00035059
1.463770625,-0.343455657,1.463650365,0.008659341,1.463697865,-0.00085956
1.48382224,-0.341850114,1.483700365,0.008080375,1.483748542,-0.001602952
1.503873907,-0.339388666,1.503750365,0.007488378,1.503799167,-0.001684511
1.523925573,-0.336114544,1.523800365,0.006794452,1.523849844,-0.001342392
1.54397724,-0.332108734,1.543850365,0.005981966,1.543900521,-0.001025349
1.564028854,-0.327422431,1.563900365,0.005108541,1.563951198,-0.000751696
1.584080521,-0.322119504,1.583950365,0.004220198,1.584001875,-0.000605113
1.604132188,-0.316253588,1.604000365,0.003300715,1.6040525,-0.000718717
1.624183802,-0.309835937,1.624050365,0.002334718,1.624103177,-0.000637568
1.644235469,-0.302879355,1.644100365,0.001360663,1.644153854,-0.000360502
1.664287136,-0.295362378,1.664150417,0.000435794,1.664204531,-0.00023911
1.68433875,-0.28726885,1.684200417,-0.000444444,1.684255208,-0.000290472
1.704390417,-0.278568429,1.704250417,-0.001326094,1.704305885,-0.000306401
1.724442084,-0.269250414,1.724300417,-0.002220034,1.72435651,-0.000350775
1.744493698,-0.259296185,1.744350417,-0.003093696,1.744407188,-0.000470486
1.764545365,-0.248707245,1.764400417,-0.003929745,1.764457865,-0.000497005
1.784597032,-0.2375103,1.784450417,-0.004727754,1.784508542,-0.000378549
1.804648698,-0.225751682,1.804500417,-0.005491186,1.804559219,-0.000237406
1.824700313,-0.213488012,1.824550469,-0.006214994,1.824609896,-0.000161204
1.844751979,-0.200801048,1.844600469,-0.006887525,1.844660573,-0.000163129
1.864803646,-0.187779861,1.864650469,-0.007492043,1.86471125,-0.000211756
1.884855261,-0.174503917,1.884700469,-0.008006853,1.884761875,-0.000260897
1.904906927,-0.161048358,1.904750469,-0.00841041,1.904812552,-0.000587135
1.924958594,-0.147441945,1.924800469,-0.008705102,1.924863229,-0.001091692
1.945010209,-0.133709134,1.944850469,-0.008910719,1.944913906,-0.001586399
1.965061875,-0.119856995,1.964900469,-0.009033821,1.964964583,-0.001986899
1.985113542,-0.105841675,1.984950521,-0.009047797,1.98501526,-0.002148639
2.005165209,-0.091642902,2.005000521,-0.008924105,2.005065938,-0.002108995
2.025216823,-0.077230435,2.025050521,-0.008681911,2.025116615,-0.002053552
2.04526849,-0.062592893,2.045100521,-0.008386263,2.04516724,-0.002240925
2.065320157,-0.047723634,2.065150521,-0.008074886,2.065217917,-0.002663187
2.085371771,-0.032621473,2.085200521,-0.007732452,2.085268594,-0.003027824
2.105423438,-0.017309176,2.105250521,-0.007324083,2.105319271,-0.003077667
2.125475104,-0.00181075,2.125300521,-0.006842304,2.125369948,-0.003131158
2.145526719,0.013834432,2.145350521,-0.006311977,2.145420625,-0.003453181
2.165578386,0.029566178,2.165400573,-0.005760527,2.165471302,-0.00400923
2.185630052,0.045326579,2.185450573,-0.005183328,2.185521979,-0.004599618
2.205681667,0.061052252,2.205500573,-0.004567804,2.205572656,-0.004946386
2.225733334,0.076683413,2.225550573,-0.003916656,2.225623333,-0.004991886
2.245785,0.092176619,2.245600573,-0.003238122,2.245673958,-0.004880756
2.265836615,0.107501359,2.265650573,-0.002555238,2.265724635,-0.004769609
2.285888282,0.122685651,2.285700573,-0.001871349,2.285775313,-0.004693795
2.305939948,0.137733214,2.305750573,-0.001161351,2.30582599,-0.004455216
2.325991563,0.152702214,2.325800625,-0.00041586,2.325876667,-0.003990608
2.346043229,0.16761535,2.345850625,0.000345056,2.345927344,-0.003493108
2.366094896,0.182513666,2.365900625,0.001087154,2.365978021,-0.003035956
2.386146563,0.197376264,2.385950625,0.001793426,2.386028698,-0.002590591
2.406198177,0.212175542,2.406000625,0.002472642,2.406079375,-0.002244201
2.426249844,0.226853337,2.426050625,0.003146215,2.42613,-0.002169605
2.446301511,0.241329608,2.446100625,0.003816736,2.446180677,-0.00232614
2.466353125,0.255517251,2.466150625,0.004453717,2.466231354,-0.002427719
2.486404792,0.269319499,2.486200677,0.00502659,2.486282031,-0.002289002
2.506456407,0.282642912,2.506250677,0.005530757,2.506332708,-0.002014181
2.526508073,0.295386606,2.526300677,0.005998516,2.526383385,-0.001723549
2.54655974,0.30748142,2.546350677,0.00644538,2.546434063,-0.001298203
2.566611407,0.318859135,2.566400677,0.006842543,2.56648474,-0.000740671
2.586663021,0.3294877,2.586450677,0.007144766,2.586536072,-0.000266175
2.606714688,0.339345091,2.60650073,0.007338784,2.606586749,-7.66035E-05
2.626766354,0.348411296,2.62655073,0.007460961,2.626637426,-0.000177889
2.646817969,0.356703183,2.64660073,0.007554513,2.646688103,-0.000425079
2.666869636,0.364218231,2.66665073,0.007615744,2.666738728,-0.00072619
2.686921302,0.370946904,2.68670073,0.007609344,2.686789405,-0.001009547
2.706972917,0.376887755,2.70675073,0.007513418,2.706840082,-0.001291617
2.727024584,0.381990972,2.72680073,0.00735378,2.726890759,-0.001490897
2.74707625,0.386230504,2.74685073,0.007166564,2.746941436,-0.001582014
2.767127865,0.389532763,2.766900782,0.006929684,2.766992113,-0.001572963
2.787179532,0.391845341,2.786950782,0.006578251,2.78704279,-0.001532418
2.807231198,0.393083149,2.807000782,0.006096705,2.807093468,-0.001507057
2.827282813,0.393196892,2.827050782,0.005546043,2.827144145,-0.001528501
2.847334479,0.392129769,2.847100782,0.004983894,2.847194822,-0.001539274
2.867386146,0.38986535,2.867150782,0.004400524,2.867245499,-0.001536688
2.887437761,0.38640945,2.887200782,0.003762357,2.887296176,-0.001557046
2.907489427,0.381786588,2.907250834,0.003072027,2.907346853,-0.001623697
2.927541094,0.376052547,2.927300834,0.002365112,2.92739753,-0.001733039
2.947592709,0.369283217,2.947350834,0.001671211,2.947448207,-0.0018887
2.967644375,0.361593271,2.967400834,0.000994144,2.967498832,-0.002016822
2.987696042,0.353060115,2.987450834,0.000319042,2.987549561,-0.002038068
3.007747657,0.343780532,3.007500834,-0.000369329,3.007600238,-0.001945321
3.027799323,0.333809038,3.027550886,-0.001073716,3.027650863,-0.001856794
3.04785099,0.323196787,3.047600886,-0.001789174,3.04770154,-0.001782034
3.067902604,0.311968527,3.067650886,-0.002508719,3.067752218,-0.001585527
3.087954271,0.300128121,3.087700886,-0.003202199,3.087802895,-0.001300992
3.108005886,0.287706923,3.107750886,-0.003851388,3.107853572,-0.001063
3.128057552,0.274714405,3.127800886,-0.004463898,3.127904249,-0.000882151
3.148109219,0.261177084,3.147850886,-0.005043076,3.147954926,-0.000691445
3.168160834,0.247118645,3.167900938,-0.005554366,3.168005603,-0.000478017
3.1882125,0.23255843,3.187950938,-0.005964549,3.18805628,-0.000268028
3.208264167,0.217570439,3.208000938,-0.006304038,3.208106957,-9.34033E-05
3.228315782,0.202223287,3.228050938,-0.006642046,3.228157634,1.6095E-05
3.248367448,0.186590973,3.248100938,-0.006978685,3.248208311,6.48145E-05
3.268419115,0.170768752,3.26815099,-0.00723468,3.268258988,-5.56721E-06
3.288470729,0.154858127,3.28820099,-0.007359276,3.288309665,-0.000112593
3.308522396,0.138949723,3.30825099,-0.007398994,3.308360343,-0.000140043
3.328574063,0.123128525,3.32830099,-0.007413367,3.32841102,-2.44446E-06
3.348625677,0.107435231,3.34835099,-0.007389121,3.348461697,0.000204795
3.368677344,0.091919734,3.36840099,-0.007257265,3.368512374,0.000305655
3.388729011,0.076574853,3.388451042,-0.007001767,3.388563051,0.000303068
3.408780625,0.061407563,3.408501042,-0.006693297,3.408613728,0.000169688
3.428832292,0.046412681,3.428551042,-0.006396598,3.428664353,1.89468E-05
3.448883959,0.031557633,3.448601042,-0.006099873,3.44871503,-1.4294E-05
3.468935573,0.016833269,3.468651042,-0.00573534,3.468765707,2.95166E-05
3.48898724,0.002215574,3.488701042,-0.005264883,3.488816384,4.72086E-05
3.509038854,-0.012299094,3.508751094,-0.00473902,3.508867061,-1.66965E-05
3.529090521,-0.026710481,3.528801094,-0.004206126,3.528917738,-0.000236996
3.549142188,-0.040989783,3.548851094,-0.003653361,3.548968415,-0.000480686
3.569193802,-0.055095601,3.568901094,-0.003055331,3.569019093,-0.000506524
3.589245469,-0.068970986,3.588951094,-0.00242516,3.58906977,-0.000359662
3.609297136,-0.082559994,3.609001094,-0.001778878,3.609120447,-0.00020851
3.62934875,-0.095804265,3.629051094,-0.001105998,3.629171124,-0.000213503
3.649400417,-0.108679088,3.649101146,-0.000399262,3.649221801,-0.000467253
3.669452084,-0.121158609,3.669151146,0.000294344,3.669272478,-0.000843733
3.689503698,-0.133242617,3.689201146,0.000931754,3.689323155,-0.001047075
3.709555365,-0.14496089,3.709251146,0.001544308,3.709373832,-0.000954345
3.729607032,-0.156347334,3.729301146,0.002172592,3.729424509,-0.0007766
3.749658646,-0.167452653,3.749351198,0.002810677,3.749475186,-0.000701671
3.769710313,-0.17832491,3.769401198,0.00341332,3.769525863,-0.000792508
3.789761979,-0.189001932,3.789451198,0.003960067,3.78957654,-0.001015932
3.809813594,-0.199517995,3.809501198,0.004463374,3.809627218,-0.001145818
3.829865261,-0.209887413,3.829551198,0.004927193,3.829677895,-0.001063335
3.849916927,-0.220095562,3.849601198,0.005334522,3.849728572,-0.000934255
3.869968542,-0.230133571,3.86965125,0.005691863,3.869779249,-0.000941434
3.890020209,-0.239942988,3.88970125,0.006015863,3.889829926,-0.001063625
3.910071875,-0.249481691,3.90975125,0.006281457,3.909880603,-0.001180506
3.93012349,-0.258662993,3.92980125,0.006448316,3.929931228,-0.001149523
3.950175157,-0.267431067,3.94985125,0.006504041,3.949981905,-0.001025811
3.970226771,-0.27570883,3.969901302,0.006487589,3.970032634,-0.000947043
3.990278438,-0.283453668,3.989951302,0.006456763,3.990083259,-0.000916556
4.010330104,-0.290648104,4.010001302,0.006398626,4.010133936,-0.000928061
4.030381719,-0.297305074,4.030051302,0.006275666,4.030184613,-0.000981921
4.050433386,-0.303428764,4.050101302,0.006116004,4.05023529,-0.000948927
4.070485052,-0.309058259,4.070151355,0.005961758,4.070285968,-0.000800447
4.090536667,-0.31422638,4.090201355,0.005788079,4.090336645,-0.000720296
4.110588334,-0.31895452,4.110251355,0.005507965,4.110387322,-0.000798398
4.13064,-0.323255977,4.130301355,0.005105105,4.130437999,-0.000943945
4.150691615,-0.327120633,4.150351355,0.004671511,4.150488676,-0.001014293
4.170743282,-0.330507454,4.170401407,0.004271674,4.170539353,-0.000952352
4.190794948,-0.333350792,4.190451407,0.003835113,4.19059003,-0.000841162
4.210846563,-0.335590333,4.210501407,0.00328119,4.210640707,-0.000841807
4.230898229,-0.337126533,4.230551407,0.002650101,4.230691384,-0.000892546
4.250949896,-0.33787424,4.250601407,0.002036529,4.250742061,-0.000822557
4.271001511,-0.337780148,4.270651407,0.001465537,4.270792738,-0.000645668
4.291053177,-0.33679441,4.290701459,0.000874387,4.290843415,-0.00048675
4.311104844,-0.334880457,4.310751459,0.000220701,4.310894093,-0.000460831
4.331156459,-0.332066739,4.330801459,-0.000451923,4.33094477,-0.000536583
4.351208125,-0.328359712,4.350851459,-0.001105644,4.350995447,-0.000542589
4.37125974,-0.323826113,4.370901459,-0.001749971,4.371046124,-0.000386916
4.391311407,-0.318527736,4.390951511,-0.002385679,4.391096801,-0.000181079
4.411363073,-0.312533955,4.411001511,-0.002983379,4.411147478,-9.968E-05
4.431414688,-0.305911377,4.431051511,-0.003500818,4.431198155,-0.000163668
4.451466354,-0.298715457,4.451101511,-0.003936535,4.451248832,-0.000308824
4.471518021,-0.290976144,4.471151511,-0.004352965,4.471299509,-0.000484318
4.491569636,-0.282720378,4.491201563,-0.004755835,4.491350186,-0.000561961
4.511621302,-0.27396219,4.511251563,-0.005088479,4.511400863,-0.000531484
4.531672969,-0.26469603,4.531301563,-0.005339257,4.53145154,-0.000428817
4.551724584,-0.254892552,4.551351563,-0.005546314,4.551502218,-0.000286826
4.57177625,-0.244519951,4.571401563,-0.005717377,4.571552895,-0.000123986
4.591827917,-0.233566464,4.591451615,-0.005818061,4.591603572,2.23426E-06
4.611879532,-0.221999258,4.611501615,-0.005849517,4.611654249,6.23719E-05
4.631931198,-0.209809295,4.631551615,-0.005865791,4.631704926,7.31428E-05
4.651982865,-0.197045961,4.651601615,-0.005861704,4.651755603,0.000158658
4.672034479,-0.183774551,4.671651667,-0.005749351,4.67180628,0.000322979
4.692086146,-0.170078024,4.691701667,-0.005501756,4.691856957,0.000326113
4.712137813,-0.156070823,4.711751667,-0.005186617,4.711907634,0.000178996
4.732189427,-0.141856952,4.731801667,-0.004871083,4.731958311,2.41433E-05
4.752241094,-0.127530099,4.751851667,-0.004543505,4.752008988,-3.40533E-05
4.772292761,-0.113155071,4.771901667,-0.004141604,4.772059665,3.46882E-05
4.792344375,-0.09873802,4.791951719,-0.003628231,4.792110343,0.00012952
4.812396042,-0.084286103,4.812001719,-0.003053034,4.81216102,0.000113646
4.832447709,-0.069775962,4.832051719,-0.002465132,4.832211697,-6.77348E-05
4.852499323,-0.055166014,4.852101719,-0.001892569,4.852262374,-0.000298806
4.87255099,-0.040445035,4.872151771,-0.001318509,4.872313051,-0.000463736
4.892602657,-0.025581908,4.892201771,-0.000720225,4.892363728,-0.00050425
4.912654271,-0.010575281,4.912251771,-0.000116451,4.912414353,-0.000450221
4.932705938,0.004580944,4.932301771,0.000471599,4.932465082,-0.00040193
4.952757604,0.019875965,4.952351771,0.001044525,4.952515707,-0.000460764
4.972809219,0.03529063,4.972401823,0.001622469,4.972566384,-0.000627292
4.992860886,0.050799601,4.992451823,0.002195695,4.992617113,-0.000729434
